16
975 832
562 145 -780
672 188 -115
794 202 -797
592 170 -538
128 144 146
903 975 -926
884 601 86
362 72 69
51 109 928
100 748 -667
636 447 626
855 399 576
630 111 943
378 877 -909
649 224 -222
463 246 -852
74 588 277
354 874 -234
920 406 68
302 270 832
822 139 -435
182 653 194
539 109 454
703 165 -99
267 469 -607
429 868 540
818 420 894
28 390 673
478 653 901
3 953 -591
26 771 -407
569 90 369
82 773 533
809 622 -522
647 54 299
558 857 761
804 340 153
503 246 231
505 573 -577
60 875 639
914 609 -981
509 24 -413
259 864 819
609 49 -189
901 292 451
483 147 361
237 646 -205
362 565 409
913 910 395
920 929 340
444 760 35
289 776 406
110 99 333
9 99 575
847 48 855
196 341 81
894 818 225
943 253 -705
581 685 -112
396 398 -200
403 502 239
395 776 576
92 551 -908
570 582 -981
276 958 -715
888 182 -586
111 325 965
694 265 -662
161 294 321
255 597 -764
451 81 404
182 452 274
463 605 150
30 574 -676
53 166 166
564 353 976
3 879 502
815 195 359
35 267 -409
113 748 995
521 294 650
544 176 328
121 739 653
604 892 -241
253 779 -780
593 10 387
367 470 -781
897 319 -214
639 947 658
199 259 -344
873 279 992
875 902 -604
367 702 52
711 762 121
52 792 822
495 234 693
340 402 -841
534 219 -880
281 971 489
516 877 523
253 915 -527
813 926 920
424 929 822
502 375 -916
175 861 828
479 424 798
316 909 -201
965 216 -994
4 761 -405
298 541 820
533 342 945
725 850 642
692 193 -993
861 854 664
802 741 -771
935 13 938
645 349 547
690 919 322
506 739 -533
477 249 392
232 233 -589
858 751 -707
237 590 -406
748 3 623
29 854 -855
869 93 479
399 245 -441
935 196 643
781 423 -160
15 73 741
34 725 -65
334 225 -838
906 423 -106
652 749 201
386 100 764
722 379 -724
556 603 -547
333 329 -911
801 29 860
913 614 -4
929 218 -299
956 955 -847
153 803 574
333 502 944
873 136 35
847 625 564
675 406 312
34 747 136
163 25 471
14 450 -418
674 376 -862
785 482 452
948 338 735
454 21 -209
310 432 -462
211 298 -716
558 31 -579
728 129 318
877 438 51
601 719 537
223 463 633
243 286 376
318 307 477
566 845 -484
102 171 833
146 906 130
490 744 -395
676 696 -608
268 310 -814
439 214 168
497 65 -976
649 333 -749
97 108 890
606 68 -698
192 685 -498
191 292 -669
494 346 636
863 223 193
166 595 -456
96 359 -868
546 492 191
836 91 -655
499 716 165
492 802 761
473 579 -892
360 787 -6
525 947 -60
403 487 131
455 664 355
448 822 200
771 439 137
503 20 -549
764 795 -753
673 66 -178
442 177 713
281 197 -105
295 418 649
774 89 -313
152 745 -236
608 543 -352
891 402 279
11 744 598
439 695 -654
597 335 640
158 468 -432
935 225 -745
222 130 399
80 327 324
51 669 435
551 908 454
226 458 -872
684 864 201
816 35 531
880 920 -102
210 920 185
903 743 957
49 356 842
350 11 666
511 793 -401
931 268 -600
798 412 353
510 127 157
21 757 -307
639 607 -298
327 507 -877
735 677 61
429 972 412
123 929 872
567 971 -299
52 670 297
751 848 714
327 318 188
772 661 -933
171 93 -72
612 212 -204
135 946 -388
410 11 901
829 198 31
747 231 819
251 720 -118
173 860 -312
512 367 864
588 6 -672
279 322 -439
867 65 -678
240 155 -786
299 839 7
125 868 -325
222 818 352
523 14 379
730 459 520
137 564 765
131 488 -438
161 938 361
114 950 162
317 651 -926
885 255 -188
785 447 657
121 27 733
931 643 175
335 943 -475
348 424 -622
941 337 165
528 485 785
645 626 351
7 872 230
907 616 729
692 176 -970
80 546 -976
694 846 -352
215 673 -627
792 395 286
537 241 966
15 406 -505
79 31 -902
895 279 304
516 189 -916
109 250 415
557 517 331
430 170 647
93 342 39
731 538 348
282 222 -206
345 575 482
213 757 -713
212 832 887
381 41 584
51 24 392
879 505 -306
249 760 126
747 452 -960
5 173 842
658 952 -113
305 787 580
104 203 -644
853 895 106
760 472 796
894 732 -369
200 874 128
957 628 -195
179 49 410
506 229 591
649 464 998
45 167 -206
257 264 944
435 596 -998
10 521 -348
118 409 -274
624 433 745
634 70 -729
640 221 -677
102 796 184
229 194 -682
32 363 72
865 775 591
655 858 287
43 552 646
494 467 645
456 737 514
525 345 -288
545 665 -101
19 850 778
686 949 -903
912 450 -999
527 410 -529
675 321 -510
758 803 -340
944 605 -607
818 908 -493
324 37 766
808 680 -778
420 694 -583
663 641 644
371 797 -177
352 869 -386
590 659 -590
830 881 27
349 812 -846
465 96 221
661 656 -183
141 304 -37
934 184 -88
738 64 973
387 522 -787
880 876 -337
564 778 292
928 704 993
713 355 -142
769 415 -601
594 830 883
817 464 5
732 29 -99
893 289 -74
402 40 423
809 641 -666
913 419 409
903 909 -201
99 737 -844
642 824 -493
394 924 692
256 661 726
765 269 -431
857 842 -796
474 557 738
675 452 75
98 384 -480
92 15 -282
730 477 -319
520 662 215
111 214 -361
493 731 -310
818 676 -191
633 294 292
572 675 -806
632 681 -840
213 206 -513
401 489 -830
140 685 92
436 654 -173
827 318 574
113 572 395
707 797 473
14 77 622
758 950 879
137 243 -796
221 481 -527
67 134 -772
734 890 294
442 99 194
349 857 -312
187 189 665
230 892 -734
797 379 109
769 883 955
100 360 -806
832 574 925
789 207 -356
202 621 335
557 632 -534
701 169 953
173 699 272
872 908 -143
646 867 651
498 184 174
883 914 994
87 155 971
18 331 577
332 921 204
178 732 396
38 221 821
616 330 75
816 903 215
49 521 415
690 782 202
875 430 -950
419 715 -796
589 272 247
852 391 -681
650 231 60
401 918 -298
489 312 -427
430 362 -402
314 921 9
427 23 579
820 112 210
760 486 184
741 59 900
399 124 819
393 194 256
469 839 426
390 353 235
387 717 -493
814 20 529
88 358 -640
673 786 -559
443 881 -757
691 572 384
850 342 -994
726 523 669
450 366 998
623 720 -653
339 318 187
290 563 -86
603 331 122
904 316 -24
730 951 176
361 290 533
840 934 -666
777 875 756
505 772 448
740 89 -207
932 866 766
778 44 315
886 645 -947
598 105 -239
968 805 -580
174 859 -82
568 8 -601
656 718 -902
300 882 -272
582 855 440
760 133 390
400 914 -272
893 335 266
277 177 473
775 379 954
767 210 834
460 373 833
833 201 161
203 501 -818
589 24 949
368 627 -821
891 539 396
624 932 -336
470 707 -488
290 797 -596
880 283 247
632 207 -762
828 281 -170
574 16 -77
766 715 -488
90 622 848
768 28 -241
766 21 -308
590 869 976
236 830 -103
230 838 732
652 357 -830
662 565 203
499 430 807
702 962 271
417 494 874
596 735 -673
595 243 -709
930 286 -188
794 876 -338
372 395 219
30 313 -855
546 659 916
907 498 305
662 226 745
936 94 -920
521 795 -738
248 179 -822
891 827 -2
967 861 -871
533 138 920
714 919 -126
835 713 486
819 439 -63
99 653 -513
320 260 -903
771 662 -343
331 955 143
611 372 -95
748 85 283
156 57 -642
22 953 -204
377 114 959
870 295 -265
461 30 729
237 857 -839
180 343 972
658 783 156
939 52 -291
230 499 -763
624 81 -916
615 62 391
746 715 -864
370 738 -574
196 391 627
973 296 464
414 248 957
166 732 -762
419 352 -640
702 835 -562
539 434 79
283 312 -292
753 206 343
605 954 328
632 755 -732
718 563 552
596 591 -221
589 678 87
226 348 -371
938 742 796
274 647 82
416 639 -48
372 878 -719
115 451 270
552 842 -915
969 620 -491
809 165 -937
889 660 79
39 331 -885
290 79 53
638 617 235
193 842 892
615 912 -863
629 210 -81
407 906 -892
83 348 668
191 222 340
381 690 649
712 513 502
751 71 995
771 419 -639
77 452 544
487 402 639
224 907 -278
601 371 171
539 237 54
100 103 896
771 802 -398
107 173 968
730 121 17
472 907 663
641 350 384
910 570 -36
601 170 -470
204 755 859
295 262 -327
866 737 -460
443 77 -783
766 160 -886
664 928 333
813 836 77
51 525 878
417 317 493
212 136 388
759 796 -106
5 154 952
511 660 -949
664 551 511
8 292 -698
619 376 -966
512 851 311
831 873
249 290 -265
257 781 448
798 427 562
419 489 271
317 665 243
445 559 -702
343 346 -734
45 753 -464
62 572 167
228 90 890
106 93 -300
233 713 693
16 225 -759
738 373 555
602 456 -78
828 750 -905
742 521 -870
627 129 603
553 615 246
9 713 654
526 142 -859
126 744 -379
445 68 921
804 343 762
163 764 423
700 122 114
661 465 427
580 521 489
359 572 -157
714 132 -437
594 540 159
49 681 -636
55 423 678
55 500 -220
596 515 487
699 324 714
64 81 783
599 743 101
792 481 456
343 760 921
709 338 -392
706 549 -615
313 128 -952
804 44 -253
596 18 -450
597 785 773
280 788 973
1 295 727
522 37 474
707 216 -227
419 549 -543
447 499 128
66 35 495
82 477 543
98 616 -783
227 580 201
195 13 834
333 757 252
437 719 -931
202 143 -631
369 273 226
450 730 -283
609 285 -530
579 691 -909
498 687 -327
530 237 -411
119 495 869
172 627 -366
67 520 -690
617 634 494
412 541 228
182 340 -426
430 305 -464
744 414 189
433 20 -343
609 631 895
158 566 -288
541 720 911
361 797 -385
650 719 -328
600 31 -538
544 663 913
327 382 580
645 505 359
811 439 -314
815 525 -749
301 170 504
216 807 549
205 41 -177
78 812 -516
421 831 655
609 271 392
223 760 996
479 480 463
377 646 -51
338 261 -966
664 429 528
490 266 -760
280 435 -552
614 497 -878
623 719 658
582 95 -465
430 773 388
456 504 119
824 391 -232
589 634 744
185 230 -354
761 26 341
363 260 -875
306 618 623
184 19 627
117 424 771
328 684 413
634 659 622
553 274 -382
22 83 773
531 508 251
45 827 -163
102 517 -277
107 820 -578
677 355 421
605 508 575
4 712 -384
589 269 -541
447 530 911
173 468 797
712 630 672
670 233 -48
99 513 898
281 45 -748
299 39 -732
441 557 -148
668 370 277
461 675 -316
345 757 -729
324 152 -36
330 582 682
478 819 243
241 686 -162
253 676 -437
740 688 716
92 235 -581
540 126 292
504 644 250
425 39 -221
691 361 -750
749 644 -821
687 621 -343
205 77 -967
566 472 807
334 726 951
185 334 215
831 437 557
305 473 -700
419 530 337
293 12 700
375 206 -394
804 674 927
162 116 -166
712 791 391
695 34 102
783 274 425
206 733 -781
651 433 643
386 320 -970
317 717 -621
126 738 -383
507 546 982
221 440 -193
203 543 132
270 826 28
496 184 -786
242 196 675
185 88 -91
460 343 -274
385 662 423
84 233 930
416 387 -707
481 292 -97
821 818 -312
594 416 928
133 387 199
254 169 522
778 242 -729
767 636 -988
474 780 66
322 514 -646
283 197 568
581 785 584
52 77 612
444 312 -736
225 717 -956
569 297 17
541 196 357
488 62 -853
580 528 865
208 227 394
344 93 -823
434 294 869
84 11 -556
153 418 -846
145 477 -646
569 197 293
417 605 347
704 585 198
122 556 -952
688 572 650
289 491 -39
301 548 -114
737 264 -512
540 226 757
815 663 -17
654 92 -56
634 159 -236
465 594 -170
267 176 958
52 76 -459
12 533 -31
206 828 -35
321 554 919
295 649 -661
815 279 510
189 47 -245
302 534 -466
753 299 -619
233 568 -641
748 158 -339
208 444 633
42 653 372
378 287 -941
325 389 -345
333 353 -592
273 719 55
33 97 521
31 195 -965
160 428 -602
439 25 850
351 531 292
163 667 794
118 586 -551
709 560 856
703 790 705
499 752 -918
379 829 -222
352 535 -230
155 265 -538
224 476 189
91 354 502
768 672 461
128 548 -668
496 374 -565
687 792 -606
730 260 -467
286 521 779
459 307 -45
79 76 -327
467 480 -152
211 194 445
320 679 -218
493 627 -818
325 399 -98
155 821 -28
821 772 -436
514 574 179
206 100 932
593 475 -148
547 727 131
132 106 685
250 349 -690
86 776 -669
448 267 -741
272 166 461
783 371 747
637 221 -412
372 203 -44
219 375 213
41 334 35
254 66 162
634 213 297
797 562 -722
416 632 -401
452 640 -803
554 335 317
692 235 -849
595 101 923
234 779 954
420 273 825
26 213 528
617 478 -981
387 227 -689
26 73 -698
521 470 -280
308 255 441
701 808 380
52 461 983
809 136 -52
562 117 -50
280 608 557
258 618 -783
126 278 -863
461 769 394
399 401 -387
604 764 266
251 827 -62
277 54 -760
817 113 -967
326 712 581
226 574 -499
774 516 -476
428 440 -572
487 262 900
327 502 774
664 818 128
300 72 -500
233 159 -113
482 601 -311
425 197 -154
197 50 -934
172 438 -730
317 665 435
211 547 810
49 446 -826
153 341 -391
140 292 -588
613 710 -2
741 522 298
263 8 921
386 430 269
142 367 -308
572 106 -426
181 644 296
742 81 779
4 535 -166
295 1 285
56 215 -506
92 679 119
600 211 -272
169 280 578
94 33 -610
66 455 107
437 110 715
452 165 -497
519 415 983
430 144 -395
32 477 -844
357 738 -569
335 657 -142
258 251 923
233 350 792
202 403 -593
84 589 810
286 280 464
276 419 758
307 283 94
207 349 269
556 672 -342
265 34 719
255 536 552
818 558 -556
195 129 911
474 290 709
715 548 -266
190 312 881
117 136 59
412 536 -388
236 19 101
717 372 845
779 12 -182
780 619 -971
460 308 -359
401 204 -517
89 538 764
93 55 670
266 743 447
164 785 -838
768 667 321
814 339 -896
242 732 -448
632 624 832
467 805 830
239 625 -69
502 615 -792
240 409 -485
367 557 206
98 246 843
259 89 724
136 334 -608
553 176 -881
245 536 -452
771 271 -632
55 319 -618
225 795 369
218 475 -343
243 287 487
447 660 836
502 64 -910
663 111 -333
735 601 598
539 754 -243
98 126 -13
829 717 -839
369 329 375
127 667 743
540 481 814
276 573 -287
324 139 302
326 272 -516
477 189 363
297 66 -625
687 155 665
316 249 -465
111 745 665
569 632 -973
211 109 686
542 19 -269
16 696 286
201 433 -583
85 286 -777
75 425 795
403 647 604
358 697 814
515 540 111
596 36 -379
629 343 -857
264 45 745
746 401 -250
649 365 -366
704 523 -473
699 143 -295
112 446 398
407 123 -652
460 692 -582
124 52 288
145 225 653
744 219 149
429 442 -671
189 445 152
610 186 548
208 615 -254
126 555 996
629 378 460
282 248 -444
644 633 512
275 352 -863
200 540 339
468 323 139
62 688 232
813 313 -515
803 557 -328
497 727 429
558 362 57
518 791 89
86 156 -871
180 664 310
44 224 958
412 109 850
716 800 -807
811 303 66
549 362 900
602 533 -524
150 355 17
806 628 381
632 474 693
794 177 45
89 544 939
435 379 -138
382 195 -37
216 749 230
160 689 -544
434 605 -912
669 262 796
289 643 446
77 43 -531
442 247 -22
26 303 -212
793 82 -21
618 649 -20
426 457 823
737 361 374
195 626 103
8 154 867
580 282 -506
46 418 445
202 499 -809
103 360 659
617 728 -730
718 268 -16
36 672 -602
543 529 -771
226 767 -62
743 131 -547
151 345 -579
567 646 89
474 731 -681
596 543 -200
470 732 354
461 285 276
630 460 852
245 717 -254
231 249 -808
811 35 171
192 49 465
332 773 -785
8 179 -889
236 111 -50
123 148 662
113 68 991
474 305 313
579 261 -907
419 145 733
629 815 663
212 248 -580
569 399 -988
370 78 286
303 247 -759
581 697 -131
108 370 634
346 113 298
677 497 -842
438 776 711
57 164 800
112 24 -798
727 631 685
345 694 -791
658 380 -933
790 362 625
698 80 259
194 241 442
207 611 574
550 199 654
478 608 241
597 426 -357
471 120 -152
605 656 -687
496 572 478
394 771 -673
455 395 498
677 83 -345
207 367 403
529 45 -764
340 200 -204
140 826 -148
28 700 -625
91 460 72
737 152 -845
251 572 59
250 143 -132
457 525 726
280 824 -89
678 628 -397
656 304 -494
396 724 -437
153 133 980
775 236 536
488 401 -124
8 572 80
383 190 214
327 435 -37
750 33 -522
299 811 435
277 787 494
594 3 425
829 628 -256
727 86 -251
144 21 -774
426 529 -578
720 682 -189
726 410 -817
599 582 605
457 85 806
4 695 894
521 395 -700
297 52 -34
552 423 -39
101 309 135
695 591 298
126 710 17
252 219 136
333 612 829
721 30 -870
581 672 -715
714 128 -465
236 290 309
30 724 -856
267 83 461
407 297 50
651 24 -329
578 148 -905
37 202 640
596 166 -808
288 101 749
169 777 -650
259 258 -94
403 674 128
820 78 642
482 683 698
376 41 -924
728 169 441
501 616 742
773 699 957
577 91 578
677 522 -488
106 254 796
442 468 -573
478 176 -255
318 102 -452
186 360 259
616 707 -585
585 307 -298
132 802 840
284 131 -123
641 303 -909
25 709 203
426 269 -553
558 384 -512
717 674 -978
693 100 -382
590 617 -170
229 604 960
484 210 619
730 709 781
43 708 609
251 606 -446
347 522 714
184 246 102
734 445 958
598 554 88
600 240 990
343 117 998
374 277 -298
157 510 -433
560 628 -803
277 372 -577
76 392 -265
688 803 -237
380 432 123
363 187 -466
196 409 290
667 163 -224
828 633 -299
348 575 623
486 689 -48
784 453 521
545 399 719
743 43 -188
276 723 -142
416 774 -642
24 88 -856
552 514 62
33 739 -164
570 468 826
55 816 -532
100 200 348
670 63 530
347 629 -402
421 405 -147
665 607 280
110 24 -666
276 171 824
720 387 301
737 470 210
54 735 -104
66 726 -469
644 418 262
578 32 -624
129 443 -60
372 421 -112
152 537 505
828 253 554
461 183 406
531 765 -429
742 92 -651
273 128 673
665 125 829
296 279 -84
320 213 19
719 14 -756
671 611 125
414 172 141
58 619 32
353 56 979
129 695 241
780 529 -109
236 507 400
39 521 513
481 442 -743
144 457 -345
157 638 478
785 414 -105
742 389 337
160 58 220
707 191 -524
699 38 766
531 107 -329
501 599 571
345 384 78
551 354 623
172 268 -158
437 512 898
19 696 355
699 813 -879
4 105 -164
716 433 987
720 489 382
494 389 931
570 20 546
171 357 232
551 27 -274
634 606 681
497 209 616
566 332 -837
457 507 472
55 321 719
794 270 -331
710 402 -984
734 178 -175
817 813 -816
584 754 747
749 536 958
267 119 322
117 552 -80
140 128 718
279 325 708
289 465 -925
823 518 827
354 92 249
223 52 -65
780 673 970
169 435 215
229 189 923
289 569 152
390 731 -489
458 266 519
230 15 -523
325 613 329
267 758 776
292 626 949
109 56 -179
825 317 -120
571 682 403
298 103 -776
167 788 862
130 134 -45
801 126 -296
548 38 803
356 674 444
432 224 832
279 102 -873
243 103 401
683 117 -192
464 118 -723
759 635 331
579 792 -974
730 322 296
483 127 759
477 793 561
581 543 -228
716 311 35
62 403 863
398 301 864
331 99 728
759 398 218
808 334 -837
483 24 970
41 687 -830
390 217 389
794 178 877
598 267 -783
312 499 -906
487 181 -331
821 401 231
158 544 -833
822 353 758
216 127 685
157 327 -824
133 797 52
207 46 894
755 759 -41
54 476 901
813 717 -576
11 325 -24
694 452 -261
112 223 -271
547 478 -544
640 284 374
778 466 98
216 70 125
516 70 503
540 531 -342
716 172 936
223 217 -683
20 172 -842
229 554 134
713 430 99
270 389 830
410 810 -126
44 297 372
532 361 -797
629 441 385
6 531 -735
785 26 440
349 633 65
816 750 894
494 739 -614
437 73 29
271 457 -884
44 145 -960
434 325 121
34 14 -946
373 170 932
167 546 -550
123 725 478
385 160 -104
391 447 835
303 582 -523
108 437 -748
277 75 333
818 215 770
43 104 913
813 465 885
509 325 -668
136 51 -827
438 621 -679
530 62 402
82 39 668
451 588 967
813 566 634
505 90 426
555 294 -101
726 7 -976
635 724 637
411 496 606
84 746 441
23 555 -574
383 604 950
259 281 -718
761 369 128
548 721 975
778 238 709
422 249 866
468 750 -921
323 180 453
274 760 487
169 104 752
449 777 -859
269 485 -934
4 199 -934
754 767 383
569 132 -707
662 335 -92
765 757 924
411 632 188
530 290 463
353 408 687
94 260 -800
608 191 -43
501 346 -979
811 621 588
541 713 -351
225 623 -232
492 703 331
30 394 279
555 3 645
796 232 -983
490 156 154
572 113 -527
743 428 -768
440 429 -718
601 310 792
17 638 -57
448 183 -593
236 180 -662
33 666 -789
812 975
597 461 128
727 346 -383
589 430 732
49 261 897
535 401 82
242 180 977
110 78 -568
753 45 488
118 683 501
500 39 111
382 405 -626
796 302 -162
313 103 523
326 215 968
255 105 473
715 431 853
523 477 269
338 756 460
573 614 884
592 322 -232
194 450 632
12 552 -523
139 634 -833
153 581 482
202 523 450
302 138 195
313 95 -521
227 795 990
473 443 748
600 421 466
312 761 197
798 469 966
748 24 703
240 301 -276
214 163 -146
593 390 734
88 186 -599
17 63 -220
145 612 928
586 428 -326
171 616 -566
136 165 869
245 434 427
285 211 621
374 314 -12
5 6 -7
626 667 -301
157 719 474
51 607 -447
37 108 -592
602 689 -256
275 247 -403
344 770 423
634 513 -170
702 97 -373
490 298 174
741 153 -479
757 420 -61
470 740 -521
125 735 660
799 686 -222
522 583 869
621 388 520
592 92 -477
492 415 -395
291 668 905
487 67 -447
407 35 43
126 633 50
154 244 -47
412 350 307
615 599 -77
437 158 367
562 584 -757
686 169 735
734 437 206
638 787 703
560 183 280
453 94 581
265 216 249
320 490 826
453 345 671
772 205 475
232 72 480
140 469 -243
770 569 989
270 785 880
212 595 -529
332 170 861
288 67 -851
729 279 326
261 722 -792
546 483 -426
224 305 -153
786 327 -352
176 346 421
380 409 785
265 167 -992
697 688 -493
88 351 806
450 665 -53
260 560 791
631 616 294
375 573 127
695 235 -560
491 624 811
113 294 934
430 32 80
812 435 -845
308 177 -912
543 126 -431
760 340 314
182 543 756
807 520 -925
439 300 -786
751 665 -546
550 674 -675
240 208 -154
323 681 -657
269 71 186
487 724 24
281 208 -784
545 169 305
243 767 332
397 788 -414
626 184 410
628 713 -646
760 704 -138
304 558 309
472 212 623
111 622 -445
545 14 439
741 737 -792
215 687 -75
379 533 528
653 750 -686
438 290 382
678 227 -385
187 291 892
457 654 -762
602 644 -817
486 458 848
462 482 -343
730 775 79
451 52 -188
105 60 235
580 564 -61
810 305 917
492 226 -181
688 100 -344
497 353 781
811 624 -106
545 457 -460
257 470 -144
158 333 900
567 47 -752
602 472 -615
225 446 596
763 797 511
116 149 323
526 226 -890
505 432 -699
45 682 -723
300 599 198
400 626 74
384 498 49
795 757 -176
187 290 49
442 513 340
639 287 566
757 409 -77
399 495 -710
260 79 -261
133 12 514
697 656 -177
542 602 -480
111 408 -254
346 147 176
172 162 241
268 806 -647
463 773 974
64 597 291
38 775 842
381 4 -207
528 372 473
349 606 921
171 792 -329
751 660 -610
176 760 918
736 556 738
77 803 835
567 274 931
190 276 572
262 519 556
89 520 -147
50 775 -594
385 395 594
616 708 -265
696 520 848
565 95 491
678 91 851
141 361 31
283 630 -984
592 687 -784
264 385 -352
405 552 570
684 720 640
496 514 137
570 583 740
754 512 -271
504 58 26
87 360 469
201 197 -931
480 165 375
407 487 -33
325 527 492
809 567 113
129 141 384
287 681 -825
430 82 -686
347 768 515
139 772 -450
261 734 817
499 286 -821
689 445 550
443 346 648
341 148 -403
618 577 -403
679 569 -943
163 631 -345
214 393 258
600 753 -497
256 37 -350
385 49 37
318 692 -362
761 88 -869
157 313 -358
486 541 196
492 342 771
745 377 270
222 35 846
596 227 805
558 268 90
610 529 822
51 495 882
92 401 -847
578 443 381
146 116 210
810 712 -844
537 506 -106
641 733 691
738 339 -961
554 626 -91
271 642 838
726 568 -397
86 255 65
83 28 20
804 788 -172
539 489 -151
136 367 -422
555 478 -323
403 705 -600
776 104 -647
689 580 -830
406 508 -276
259 334 52
483 542 -323
763 401 -815
627 765 918
109 406 721
336 218 358
708 681 80
492 424 -595
581 607 -886
731 331 -427
406 160 160
422 678 -517
691 471 834
399 557 462
173 55 354
805 314 -816
792 416 -874
376 485 -50
513 192 498
104 567 -119
233 204 -712
258 310 -25
162 275 -485
311 532 -691
444 8 -839
245 330 -67
518 236 -566
139 794 756
389 659 -978
440 678 993
284 461 -379
564 8 857
105 706 -750
491 236 212
470 84 330
553 627 579
453 459 -638
510 409 -428
475 317 -437
186 12 -689
602 413 -793
606 549 -666
419 528 -180
325 361 -130
469 455 -731
757 533 -78
23 577 -771
448 681 -755
403 515 -506
421 640 484
606 530 1000
39 695 -667
773 755 300
340 278 -756
548 278 825
563 804 943
588 93 -48
403 206 -550
373 23 419
690 664 -577
765 492 -135
536 756 68
81 200 -53
659 74 -745
288 716 453
467 745 -486
323 484 -896
159 82 -915
19 279 588
473 180 -801
143 761 -319
648 720 960
118 131 894
59 646 598
682 178 -10
744 61 -322
203 140 -431
633 21 137
544 8 885
650 204 280
630 329 -863
720 470 112
800 412 -313
407 485 -866
676 45 -344
158 759 89
263 290 -515
636 131 415
756 130 -77
383 195 728
296 655 346
638 441 413
519 490 -881
678 6 -582
464 50 463
139 51 660
710 529 126
385 584 124
552 678 -263
7 179 -18
234 474 433
671 174 -846
592 15 845
542 628 947
636 252 422
762 66 116
751 119 34
225 607 -558
805 495 -111
745 734 140
51 390 -627
84 158 475
790 64 240
777 358 -860
801 680 549
48 363 -697
802 211 169
768 147 25
246 95 293
238 592 782
478 493 936
475 155 -438
624 766 -827
240 501 731
595 114 33
450 511 -472
668 131 301
599 265 -53
384 1 -9
222 388 721
772 227 -83
446 498 -746
114 171 -413
67 199 -612
210 397 -744
489 327 -782
556 688 -589
670 331 325
214 334 279
69 465 167
381 612 -973
259 84 -908
578 309 -860
632 652 -674
118 666 547
463 584 246
336 359 33
344 289 -778
695 139 232
367 676 635
519 430 91
688 669 472
447 131 -282
449 528 -144
474 392 -372
688 121 819
655 457 301
523 353 668
533 147 758
138 95 120
334 422 964
527 534 -409
526 195 108
226 540 -208
5 617 326
547 636 836
547 748 810
128 601 253
676 300 -859
671 624 778
264 494 88
418 131 -208
305 478 695
661 734 -354
285 674 -527
494 666 28
426 232 -726
21 465 203
581 263 -994
693 723 656
348 719 -241
623 740 434
230 800 5
57 205 -249
475 554 -248
