914 920
757 580 -922
318 892 -905
743 431 568
749 217 485
729 695 -433
155 677 128
398 130 825
595 659 -305
564 842 -39
871 590 -381
420 192 -390
306 535 -467
314 214 -298
197 158 226
151 888 716
422 552 -458
474 285 164
304 615 981
281 605 -267
245 460 117
363 270 827
581 579 -169
66 310 -827
726 207 173
484 137 288
462 687 -118
179 707 -714
166 562 313
385 829 131
137 254 321
126 443 58
263 818 -825
854 322 -773
714 681 365
22 387 649
144 180 -51
68 236 227
110 258 -556
186 70 -931
137 546 768
106 38 -399
556 590 338
622 730 9
153 423 -117
464 110 -726
793 400 -128
235 119 260
50 171 -556
853 744 385
881 913 -596
404 407 174
802 170 -279
152 830 613
207 744 202
773 581 108
409 327 -614
875 675 396
300 203 -43
788 117 42
166 215 -799
533 406 -565
557 275 -39
67 360 822
271 801 134
3 509 -712
747 782 316
753 466 -985
84 97 377
339 714 -895
398 454 961
35 626 -827
337 897 -120
301 761 -282
821 681 668
589 511 -233
551 277 888
418 409 831
350 11 -616
125 695 -549
159 349 -690
185 432 88
136 224 905
489 905 420
440 58 710
686 698 -534
95 670 264
179 173 882
462 60 -882
914 46 -422
275 687 -543
247 101 707
823 770 -644
243 117 812
265 320 -626
421 1 -474
539 430 12
148 48 -507
15 395 -39
899 663 706
284 182 -729
828 547 -325
402 577 -449
76 339 -972
17 847 -645
102 540 606
207 132 147
26 534 -360
665 270 -990
888 133 -373
745 688 -544
178 533 -844
826 382 -990
497 831 -800
623 678 -87
355 645 773
341 403 -738
703 11 -129
86 489 -419
93 99 -50
621 326 107
400 603 794
182 552 -690
706 69 140
757 913 -959
181 498 761
842 728 7
644 375 229
192 130 -868
39 710 857
519 442 316
289 879 370
40 120 -285
206 439 -131
24 46 13
445 61 -517
48 909 460
143 323 -180
676 678 492
550 399 245
320 362 -59
436 779 757
426 314 249
202 217 -928
524 324 850
304 394 237
223 878 841
913 552 -557
311 284 712
422 206 -804
820 127 -516
605 34 -420
815 428 -644
307 34 -311
134 602 -854
346 580 -325
767 505 -386
535 468 -598
430 483 777
577 304 821
848 796 -912
625 478 -36
232 521 -905
473 435 -686
722 644 -14
316 436 -944
873 166 760
779 525 332
693 692 932
16 742 281
834 781 -921
855 638 544
891 246 577
802 673 -384
137 708 261
829 233 182
758 691 -334
809 661 -331
150 435 351
469 119 -422
523 713 -541
224 450 -173
674 95 -821
40 208 873
334 239 -1
173 481 605
299 108 -943
74 408 337
76 722 478
455 197 829
712 750 539
804 663 961
806 526 839
301 480 700
242 853 909
83 207 -616
799 747 -431
457 182 950
278 116 903
307 277 -852
498 753 -296
702 72 -612
155 861 787
439 633 -532
415 420 -450
693 298 272
395 673 260
143 577 -887
305 445 -790
888 667 -626
29 449 576
536 156 -359
446 232 -23
207 537 617
585 704 946
385 256 -348
538 572 764
123 59 -19
620 110 -766
693 7 85
523 10 -845
327 481 35
810 231 -540
180 630 282
121 746 687
712 375 531
904 18 -691
354 277 139
397 28 -301
413 380 -230
906 688 -205
463 627 24
95 372 667
217 390 -763
85 590 38
233 855 -193
567 845 89
453 247 111
672 275 590
836 184 288
799 381 -539
719 636 198
837 440 746
442 722 496
162 165 720
257 539 -729
762 183 -794
12 563 103
185 679 298
228 653 989
238 854 -625
251 152 -797
51 60 246
494 409 -325
95 329 230
334 46 -823
909 426 -915
467 69 -924
58 751 -490
631 719 -986
496 762 144
329 418 207
903 284 836
474 868 115
47 172 -993
45 163 -162
841 290 -454
434 875 181
97 75 -785
477 95 -435
107 36 519
278 888 -202
614 11 -562
873 282 -131
592 619 606
146 350 718
528 752 -712
869 67 -283
698 196 -84
417 272 947
650 377 -864
173 766 389
616 298 -438
392 30 527
164 877 461
752 24 -111
321 333 -819
706 298 988
84 590 -517
660 420 -650
787 5 867
567 117 153
893 72 -811
342 832 735
166 54 -205
574 337 -463
888 732 559
167 788 586
516 241 -972
815 550 700
538 447 84
211 136 553
457 552 1
577 480 376
27 103 196
559 488 884
18 723 42
890 782 951
508 708 -864
662 775 178
342 186 -861
846 163 177
259 767 -649
575 437 792
481 615 -538
241 167 319
656 367 415
346 747 -325
12 802 321
157 466 608
426 818 -599
786 418 314
16 901 659
654 195 235
740 466 796
90 225 773
841 306 -943
28 553 556
775 872 -693
310 364 -31
880 821 -425
474 667 -306
593 695 -41
809 498 -534
687 546 -121
324 68 112
881 194 -418
512 497 165
67 758 632
319 513 -798
7 192 951
703 910 375
267 535 -344
424 707 599
882 809 477
553 516 -358
264 909 -490
726 616 -583
693 251 532
643 307 455
302 125 419
560 129 474
491 712 265
13 454 872
425 629 -638
805 163 -752
119 784 781
81 154 443
451 278 -469
645 56 -54
373 212 -823
359 373 -75
480 599 -841
563 630 -714
154 887 -185
51 817 -223
814 225 -866
848 211 907
268 12 -841
299 86 232
701 88 -94
840 190 998
181 469 883
801 548 219
412 342 821
209 627 502
1 413 908
120 286 -938
492 673 42
392 291 -217
796 814 -653
287 181 -515
117 286 925
825 743 -816
847 506 -307
407 860 630
122 330 -389
873 425 756
34 606 -787
539 901 -500
827 547 407
702 725 645
279 571 996
237 550 -656
141 537 -984
193 233 101
885 744 -645
